Name,Board Role,Metro Region,Company,Title,Expertise Tags
Travis Miller,President,Ventura / Thousand Oaks,PureSpectrum,"SVP, Sales & Client Development","data collection, MR technology adoption, sales, innovation"
Amanda Keller-Grill,President Elect,Los Angeles — West,InnovateMR,"SVP, Global Quality & Research Excellence","research quality, recruitment, delivery, client retention, operations"
Katrina Noelle,Treasurer Elect,San Francisco,KNow Research / Scoot Insights,Founder & CEO,"qualitative research, custom research design, decision-making methodology, mentorship, DEI"
Rob Kaiser,Treasurer,Los Angeles — Long Beach,PSB,Marketing Science Leader,"AI innovation, creative analytics, marketing science, brand research"
Donna Flynn,Secretary,Los Angeles,Sago,Facility Operations & Project Execution Lead,"project management, recruiting, on-site methodologies, clinical research, qualitative ops"
Greg Carter,Metro Director — Seattle,Seattle,Carter Research & Consulting,Principal,"focus groups, depth interviews, quantitative research, 40 yrs experience"
Katie Nelson,Metro Director — Portland,Portland,KashKick,Survey & Shopping Verticals Lead,"brand strategy, optimization, partner relationships, member engagement"
Liz O'Hara,Metro Director — San Francisco,San Francisco,Abbott (Global Market Insights),Insights Strategy & Innovation Lead,"medical devices, diabetes portfolio, analytics, AI tools, global insights"
Sean McKenna,Metro Director — San Diego,San Diego,"(prev. Luth, Toluna)",Sales,"sales, client development, industry networking"
Calvin Friesth,Metro Director — Los Angeles,Los Angeles,(consultative client development),Client Development Leader,"client development, insights industry events, 15+ yrs experience"
Ashley Le Blanc,Director of Communications,Los Angeles — North,Fieldwork,Director of Communications,"brand strategy, narrative development, digital transformation, multi-channel content, qualitative research"
Monica Voss,Director of Partnerships,San Diego,MarketCast,"VP, Client Success","tech/telecom/platforms verticals, data-driven storytelling, SaaS, client development, analytics"
Molly Strawn,Co-Director of Membership,Los Angeles — North,aytm,Senior Growth Marketing Manager,"growth marketing, market research, client services"
Shana DeMarinis,Co-Director of Membership,Ventura / Thousand Oaks,TestSet,"SVP, Customer Experience","customer experience, market research, 13 yrs experience"
Dr. Yufan Lin,Director of New Professionals,Los Angeles — East,Cal Poly Pomona,Assistant Professor of Marketing,"econometrics, generative AI, marketing research, sales technology, Harvard Business Cases"
Adam Portner,Director of Regional Engagement,San Francisco,"(prev. RealityMine, Prodege, Dynata, Metrixlab, Circana)",Insights Leader,"sales, client services, operations, 25+ yrs experience"
Laurie Bae,Director of Events,San Francisco,Ipsos,Strategic Growth Team,"event management, strategic growth"
Amber Jawaid,Director of Inclusion & Diversity,Los Angeles,(senior MR leader),Senior Market Research Leader,"innovation, strategic planning, diversity & inclusion, customer understanding, 20+ yrs experience"
